baseline_minutes,lag_seconds,metric,metric_label,event_fluctuation_correlation
15,-240,kv_p50_ms,KV transfer P50,-0.02755244849342923
15,-240,kv_p95_ms,KV transfer P95,-0.006960132259603288
15,-240,kv_p99_ms,KV transfer P99,0.02570176123214599
15,-240,ttft_avg_ms,TTFT average,-0.04640228776907605
15,-240,ttft_p95_ms,TTFT P95,-0.055266479718224175
15,-240,ttft_p99_ms,TTFT P99,-0.04127411491920744
15,-210,kv_p50_ms,KV transfer P50,0.004489566384733998
15,-210,kv_p95_ms,KV transfer P95,0.004506252022193557
15,-210,kv_p99_ms,KV transfer P99,0.009966277804633245
15,-210,ttft_avg_ms,TTFT average,0.03622159495639894
15,-210,ttft_p95_ms,TTFT P95,0.01121436331967768
15,-210,ttft_p99_ms,TTFT P99,-0.02236280234803312
15,-180,kv_p50_ms,KV transfer P50,0.018186016682459994
15,-180,kv_p95_ms,KV transfer P95,-0.00921643272597598
15,-180,kv_p99_ms,KV transfer P99,-0.0367766456699317
15,-180,ttft_avg_ms,TTFT average,0.01808964138536085
15,-180,ttft_p95_ms,TTFT P95,0.04307602453961389
15,-180,ttft_p99_ms,TTFT P99,0.03153266195545262
15,-150,kv_p50_ms,KV transfer P50,-0.01658218468605691
15,-150,kv_p95_ms,KV transfer P95,0.02937812921649854
15,-150,kv_p99_ms,KV transfer P99,-0.013014152790443467
15,-150,ttft_avg_ms,TTFT average,-0.033747023852716065
15,-150,ttft_p95_ms,TTFT P95,-0.019675987480184797
15,-150,ttft_p99_ms,TTFT P99,0.0008694408620823622
15,-120,kv_p50_ms,KV transfer P50,-0.018343691168772536
15,-120,kv_p95_ms,KV transfer P95,-0.01527372969349092
15,-120,kv_p99_ms,KV transfer P99,0.02623629361527439
15,-120,ttft_avg_ms,TTFT average,-0.030061415841493057
15,-120,ttft_p95_ms,TTFT P95,-0.05225945408010416
15,-120,ttft_p99_ms,TTFT P99,-0.039210035254458916
15,-90,kv_p50_ms,KV transfer P50,0.017679488945639494
15,-90,kv_p95_ms,KV transfer P95,-0.03056634738614638
15,-90,kv_p99_ms,KV transfer P99,-0.009186472354561902
15,-90,ttft_avg_ms,TTFT average,0.023070368803273737
15,-90,ttft_p95_ms,TTFT P95,0.007107372419700635
15,-90,ttft_p99_ms,TTFT P99,-0.01451904248086756
15,-60,kv_p50_ms,KV transfer P50,0.02374005576475113
15,-60,kv_p95_ms,KV transfer P95,-0.004520560967288351
15,-60,kv_p99_ms,KV transfer P99,-0.0209370585748562
15,-60,ttft_avg_ms,TTFT average,0.02989907548303036
15,-60,ttft_p95_ms,TTFT P95,0.028655211914469816
15,-60,ttft_p99_ms,TTFT P99,0.011778201132828221
15,-30,kv_p50_ms,KV transfer P50,-0.028366918060842263
15,-30,kv_p95_ms,KV transfer P95,0.015325991341487046
15,-30,kv_p99_ms,KV transfer P99,0.01751893380550175
15,-30,ttft_avg_ms,TTFT average,-0.031868735228453134
15,-30,ttft_p95_ms,TTFT P95,-0.027051892536816394
15,-30,ttft_p99_ms,TTFT P99,-0.021996576309829662
15,0,kv_p50_ms,KV transfer P50,-0.02483223401373874
15,0,kv_p95_ms,KV transfer P95,0.027345345012632697
15,0,kv_p99_ms,KV transfer P99,0.027324905761047742
15,0,ttft_avg_ms,TTFT average,-0.0027454984928131946
15,0,ttft_p95_ms,TTFT P95,-0.02189336844428141
15,0,ttft_p99_ms,TTFT P99,-0.0011589626021718724
15,30,kv_p50_ms,KV transfer P50,0.030007536302194493
15,30,kv_p95_ms,KV transfer P95,0.0029690813515269223
15,30,kv_p99_ms,KV transfer P99,-0.02455364268411645
15,30,ttft_avg_ms,TTFT average,0.044073929972873634
15,30,ttft_p95_ms,TTFT P95,0.019122154266458618
15,30,ttft_p99_ms,TTFT P99,0.027940256033774334
15,60,kv_p50_ms,KV transfer P50,0.01894724482192449
15,60,kv_p95_ms,KV transfer P95,-0.014471759999733486
15,60,kv_p99_ms,KV transfer P99,0.0004901869876249163
15,60,ttft_avg_ms,TTFT average,0.024565743387403985
15,60,ttft_p95_ms,TTFT P95,0.012372779861560048
15,60,ttft_p99_ms,TTFT P99,0.009256809051500316
15,90,kv_p50_ms,KV transfer P50,-0.006254006201986307
15,90,kv_p95_ms,KV transfer P95,0.021163660228457292
15,90,kv_p99_ms,KV transfer P99,0.011139559432342136
15,90,ttft_avg_ms,TTFT average,-0.059557019169254766
15,90,ttft_p95_ms,TTFT P95,-0.06197608198714939
15,90,ttft_p99_ms,TTFT P99,-0.05446187729417509
15,120,kv_p50_ms,KV transfer P50,-0.004553042626264802
15,120,kv_p95_ms,KV transfer P95,0.016076463678367754
15,120,kv_p99_ms,KV transfer P99,-0.0006551751538089139
15,120,ttft_avg_ms,TTFT average,-0.007797214470942478
15,120,ttft_p95_ms,TTFT P95,-0.02680654920242395
15,120,ttft_p99_ms,TTFT P99,-0.028248979320474054
15,150,kv_p50_ms,KV transfer P50,0.008476287408732257
15,150,kv_p95_ms,KV transfer P95,-0.013699049533832733
15,150,kv_p99_ms,KV transfer P99,-0.0031891189852954836
15,150,ttft_avg_ms,TTFT average,0.04405313575374845
15,150,ttft_p95_ms,TTFT P95,0.033888118184231895
15,150,ttft_p99_ms,TTFT P99,-0.0036303156851658024
15,180,kv_p50_ms,KV transfer P50,0.03092918420526182
15,180,kv_p95_ms,KV transfer P95,-0.030153816176669852
15,180,kv_p99_ms,KV transfer P99,-0.017127492195351406
15,180,ttft_avg_ms,TTFT average,0.010402329657495303
15,180,ttft_p95_ms,TTFT P95,0.01676964943189364
15,180,ttft_p99_ms,TTFT P99,0.008304193292234235
15,210,kv_p50_ms,KV transfer P50,-0.0018153704905129885
15,210,kv_p95_ms,KV transfer P95,0.06408051942323263
15,210,kv_p99_ms,KV transfer P99,0.024982195388203236
15,210,ttft_avg_ms,TTFT average,-0.011796045700965601
15,210,ttft_p95_ms,TTFT P95,-0.016026013122965303
15,210,ttft_p99_ms,TTFT P99,-0.005223519719952867
15,240,kv_p50_ms,KV transfer P50,-0.0011009831357507768
15,240,kv_p95_ms,KV transfer P95,0.010532929921228344
15,240,kv_p99_ms,KV transfer P99,0.011173701767015062
15,240,ttft_avg_ms,TTFT average,-0.01223911535442993
15,240,ttft_p95_ms,TTFT P95,-0.015506112558719344
15,240,ttft_p99_ms,TTFT P99,-0.007285594937102359
30,-240,kv_p50_ms,KV transfer P50,-0.027739435129457812
30,-240,kv_p95_ms,KV transfer P95,-0.006543971236321454
30,-240,kv_p99_ms,KV transfer P99,0.019331983770084837
30,-240,ttft_avg_ms,TTFT average,-0.03558460452964455
30,-240,ttft_p95_ms,TTFT P95,-0.04634295267970048
30,-240,ttft_p99_ms,TTFT P99,-0.03313069961292196
30,-210,kv_p50_ms,KV transfer P50,0.004271075640392219
30,-210,kv_p95_ms,KV transfer P95,0.012977934014069364
30,-210,kv_p99_ms,KV transfer P99,0.007830508506284155
30,-210,ttft_avg_ms,TTFT average,0.04178886388600409
30,-210,ttft_p95_ms,TTFT P95,0.017336072031577672
30,-210,ttft_p99_ms,TTFT P99,-0.013859557673421211
30,-180,kv_p50_ms,KV transfer P50,0.015860367270284916
30,-180,kv_p95_ms,KV transfer P95,-0.0064060745674575465
30,-180,kv_p99_ms,KV transfer P99,-0.03561938939779156
30,-180,ttft_avg_ms,TTFT average,0.0226277942723385
30,-180,ttft_p95_ms,TTFT P95,0.048676003588507655
30,-180,ttft_p99_ms,TTFT P99,0.03805797618775971
30,-150,kv_p50_ms,KV transfer P50,-0.018244766396076383
30,-150,kv_p95_ms,KV transfer P95,0.02337363383733066
30,-150,kv_p99_ms,KV transfer P99,-0.01928856973397672
30,-150,ttft_avg_ms,TTFT average,-0.02581887254874357
30,-150,ttft_p95_ms,TTFT P95,-0.012278343779953961
30,-150,ttft_p99_ms,TTFT P99,0.007920999932973141
30,-120,kv_p50_ms,KV transfer P50,-0.021178299483508432
30,-120,kv_p95_ms,KV transfer P95,-0.014368722310981779
30,-120,kv_p99_ms,KV transfer P99,0.018953746365537878
30,-120,ttft_avg_ms,TTFT average,-0.019384059760742117
30,-120,ttft_p95_ms,TTFT P95,-0.04115270900982526
30,-120,ttft_p99_ms,TTFT P99,-0.031065007219969444
30,-90,kv_p50_ms,KV transfer P50,0.01872521690562259
30,-90,kv_p95_ms,KV transfer P95,-0.021423350730424784
30,-90,kv_p99_ms,KV transfer P99,-0.008496776013057863
30,-90,ttft_avg_ms,TTFT average,0.028158482069836486
30,-90,ttft_p95_ms,TTFT P95,0.014856618326507053
30,-90,ttft_p99_ms,TTFT P99,-0.005400518558011071
30,-60,kv_p50_ms,KV transfer P50,0.022712652220528293
30,-60,kv_p95_ms,KV transfer P95,-0.002666102632696992
30,-60,kv_p99_ms,KV transfer P99,-0.017319712191901312
30,-60,ttft_avg_ms,TTFT average,0.038011935412931866
30,-60,ttft_p95_ms,TTFT P95,0.04011512397900651
30,-60,ttft_p99_ms,TTFT P99,0.02164760388351188
30,-30,kv_p50_ms,KV transfer P50,-0.025614027109225893
30,-30,kv_p95_ms,KV transfer P95,0.016266220741803606
30,-30,kv_p99_ms,KV transfer P99,0.015385297480347797
30,-30,ttft_avg_ms,TTFT average,-0.017039834691891742
30,-30,ttft_p95_ms,TTFT P95,-0.012622904940552938
30,-30,ttft_p99_ms,TTFT P99,-0.012729156000507466
30,0,kv_p50_ms,KV transfer P50,-0.0227142095456481
30,0,kv_p95_ms,KV transfer P95,0.034647275471583694
30,0,kv_p99_ms,KV transfer P99,0.026891011632702043
30,0,ttft_avg_ms,TTFT average,0.010383228790249666
30,0,ttft_p95_ms,TTFT P95,-0.008473494801780319
30,0,ttft_p99_ms,TTFT P99,0.006796142455569125
30,30,kv_p50_ms,KV transfer P50,0.03321355999568655
30,30,kv_p95_ms,KV transfer P95,0.009970344500074816
30,30,kv_p99_ms,KV transfer P99,-0.026155914860109552
30,30,ttft_avg_ms,TTFT average,0.053909509509686176
30,30,ttft_p95_ms,TTFT P95,0.030464684601337135
30,30,ttft_p99_ms,TTFT P99,0.03701714047418538
30,60,kv_p50_ms,KV transfer P50,0.016807705900608157
30,60,kv_p95_ms,KV transfer P95,-0.013578183060017306
30,60,kv_p99_ms,KV transfer P99,0.006249656091295529
30,60,ttft_avg_ms,TTFT average,0.03335307118476041
30,60,ttft_p95_ms,TTFT P95,0.025048553143191918
30,60,ttft_p99_ms,TTFT P99,0.018292457560210612
30,90,kv_p50_ms,KV transfer P50,-0.003846180891840815
30,90,kv_p95_ms,KV transfer P95,0.020890151678183838
30,90,kv_p99_ms,KV transfer P99,0.0030532423006788033
30,90,ttft_avg_ms,TTFT average,-0.04752828958540419
30,90,ttft_p95_ms,TTFT P95,-0.04910176385488151
30,90,ttft_p99_ms,TTFT P99,-0.04524597005837235
30,120,kv_p50_ms,KV transfer P50,0.0018365777928951623
30,120,kv_p95_ms,KV transfer P95,0.02150077201965926
30,120,kv_p99_ms,KV transfer P99,-0.011594784400164811
30,120,ttft_avg_ms,TTFT average,0.004498680226672311
30,120,ttft_p95_ms,TTFT P95,-0.014604930828709225
30,120,ttft_p99_ms,TTFT P99,-0.019862077080840587
30,150,kv_p50_ms,KV transfer P50,0.01673839472985371
30,150,kv_p95_ms,KV transfer P95,-0.005202240132399186
30,150,kv_p99_ms,KV transfer P99,-0.0008136560677875159
30,150,ttft_avg_ms,TTFT average,0.05209766321881389
30,150,ttft_p95_ms,TTFT P95,0.042394751488277316
30,150,ttft_p99_ms,TTFT P99,0.005537783260511288
30,180,kv_p50_ms,KV transfer P50,0.029486714743987622
30,180,kv_p95_ms,KV transfer P95,-0.029636721843894393
30,180,kv_p99_ms,KV transfer P99,-0.009242358488890432
30,180,ttft_avg_ms,TTFT average,0.01773502424767432
30,180,ttft_p95_ms,TTFT P95,0.02745040431744482
30,180,ttft_p99_ms,TTFT P99,0.015599421706212114
30,210,kv_p50_ms,KV transfer P50,0.003745118256317519
30,210,kv_p95_ms,KV transfer P95,0.06338374935963996
30,210,kv_p99_ms,KV transfer P99,0.02315944541835718
30,210,ttft_avg_ms,TTFT average,-0.0023073465307523553
30,210,ttft_p95_ms,TTFT P95,-0.0036817327818275012
30,210,ttft_p99_ms,TTFT P99,0.0041523479408310795
30,240,kv_p50_ms,KV transfer P50,0.0022589195728395174
30,240,kv_p95_ms,KV transfer P95,0.015609380979995249
30,240,kv_p99_ms,KV transfer P99,0.005634541850499986
30,240,ttft_avg_ms,TTFT average,-0.0034847963809776566
30,240,ttft_p95_ms,TTFT P95,-0.003732813687831179
30,240,ttft_p99_ms,TTFT P99,0.0022150924325193416
60,-240,kv_p50_ms,KV transfer P50,-0.019756703707080592
60,-240,kv_p95_ms,KV transfer P95,-0.005819455516220382
60,-240,kv_p99_ms,KV transfer P99,0.024745379025146404
60,-240,ttft_avg_ms,TTFT average,-0.020303629629323243
60,-240,ttft_p95_ms,TTFT P95,-0.03053338924850307
60,-240,ttft_p99_ms,TTFT P99,-0.019663911259153257
60,-210,kv_p50_ms,KV transfer P50,0.011233491169217319
60,-210,kv_p95_ms,KV transfer P95,0.014668026769626457
60,-210,kv_p99_ms,KV transfer P99,0.013113969003980375
60,-210,ttft_avg_ms,TTFT average,0.054334748370272946
60,-210,ttft_p95_ms,TTFT P95,0.0438639485384217
60,-210,ttft_p99_ms,TTFT P99,0.0009726775841237699
60,-180,kv_p50_ms,KV transfer P50,0.02359048586583235
60,-180,kv_p95_ms,KV transfer P95,-3.572391848422058e-05
60,-180,kv_p99_ms,KV transfer P99,-0.026994493408111435
60,-180,ttft_avg_ms,TTFT average,0.03083011663777028
60,-180,ttft_p95_ms,TTFT P95,0.05857240381591459
60,-180,ttft_p99_ms,TTFT P99,0.041628537404318024
60,-150,kv_p50_ms,KV transfer P50,-0.011672663034934999
60,-150,kv_p95_ms,KV transfer P95,0.022441568680961702
60,-150,kv_p99_ms,KV transfer P99,-0.012283039297956405
60,-150,ttft_avg_ms,TTFT average,-0.013605903179937427
60,-150,ttft_p95_ms,TTFT P95,-0.010448463290743663
60,-150,ttft_p99_ms,TTFT P99,0.009287249082756893
60,-120,kv_p50_ms,KV transfer P50,-0.01351231565739863
60,-120,kv_p95_ms,KV transfer P95,-0.013300444855013967
